honorificPrefix,identifier,givenName,additionalName,familyName,honorificSuffix,maidenName,alsoKnownAs,address,affiliation,alumniOf,birthDate,birthPlace,deathDate,deathPlace,email,telephone,faxNumber,gender,height,weight,sameAs,status
,Q718919,John,,Lee,,,,,,,,,,,,,,,,,,
,Q6684592,Lot,,Smith,,,,,,,,,,,,,,,,,,
,Q3809129,John,C,Bennett,,,,,,,,,,,,,,,,,,
,Q27682515,Joseph,H,Jackson,,,,,,,,,,,,,,,,,,
,Q1681690,Sampson,,Avard,,,,,,,,,,,,,,,,,,
,Q313574,Butch,,Cassidy,,,,,,,,,,,,,,,,,,
,Q560707,Wilford,,Woodruff,,,,,,,,,,,,,,,,,,
,Q560707,John,,Taylor,,,,,,,,,,,,,,,,,,
,Q635520,Lorenzo,,Snow,,,,,,,,,,,,,,,,,,
,Q982197,Joseph,F,Smith,,,,,,,,,,,,,,,,,,
,Q1392562,Heber,J,Grant,,,,,,,,,,,,,,,,,,
,Q1392629,George,Albert,Smith,,,,,,,,,,,,,,,,,,
,Q1175942,David,O,McKay,,,,,,,,,,,,,,,,,,
,Q1392595,Joseph,Fielding,Smith,,,,,,,,,,,,,,,,,,
,Q1392118,Harold,B,Lee,,,,,,,,,,,,,,,,,,
,Q1392523,Spencer,W,Kimball,,,,,,,,,,,,,,,,,,
,Q1386097,Ezra,Taft,Benson,,,,,,,,,,,,,,,,,,
,Q945517,Howard,W,Hunter,,,,,,,,,,,,,,,,,,
,Q553147,Gordon,Bitner,Hinckley,,,,,,,,,,,,,,,,,,
,Q333620,Thomas,Spencer,Monson,,,,,,,,,,,,,,,,,,
,Q3027523,Russell,Marrion,Nelson,,,,,,,,,,,,,,,,,,
,Q8014346,William,,Law,,,,,,,,,,,,,,,,,,
,Q16063950,Wilson,,Law,,,,,,,,,,,,,,,,,,
,,Charles,,Ivins,,,,,,,,,,,,,,,,,,
,,Francis,M.,Higbee,,,,,,,,,,,,,,,,,,
,,Chauncey,L.,Higbee,,,,,,,,,,,,,,,,,,
,,Robert,,Foster,,,,,,,,,,,,,,,,,,
,,Charles,,Foster,,,,,,,,,,,,,,,,,,
,,Sylvester,,Emmons,,,,,,,,,,,,,,,,,,
