"Sophronia Smith is born at Tunbridge, Vermont. Jason Mack, Lucy's oldest brother, visits them between about May 1803 and May 1804. Lucy has a comforting dream that Joseph Sr. will become a believer in due time.",1803-05-17,1803-05-17
"Emma Hale is born at Harmony, Pennsylvania.",1804-07-10,1804-07-10
"Solomon Mack buys land at Sharon, Windsor County, Vermont, and rents it to Joseph and Lucy. Joseph farms in the summers and teaches school in the winters.",1804-08-27,1804-08-27
"Born at Sharon, Vermont",1805-12-23,1805-12-23
"Joseph Smith Jr. is born at Sharon, Vermont.",1805-12-23,1805-12-23
Joseph Sr. recommends Polly Beckwith as his replacement as a teacher at Sharon.1,1806-03-15,1806-03-15
Joseph Smith Sr. witnesses a land transaction between Solomon Mack and his son Daniel G. Mack at Sharon.,1806-05-03,1806-05-03
"Solomon Mack, pressed with financial worries, mortgages his land in Vermont, perhaps precipitating Joseph's and Lucy's move to Tunbridge.",1807-03-21,1807-03-21
"Joseph Smith Sr., Jesse Smith, and other Tunbridge residents petition the legislature for relief from providing their own military equipment for their mandatory militia service.",1807-10-15,1807-10-15
"The Smith family moves to Royalton, Windsor County, Vermont. Joseph Jr. possibly attends school on Dewey Hill, taught by Deacon Jonathan Rinney. Joseph Sr. appears on tax rolls for 1809, 1810, and 1811.",1808-01-01,1811-01-01
"Samuel Harrison Smith is born at Tunbridge, Vermont.",1808-03-13,1808-03-13
Ephraim is born at Royalton and dies 24 March 1810.,1810-03-13,1810-03-13
"Smith family moves to Lebanon, New Hampshire",1811-01-01,1811-01-01
"William Smith is born at Royalton, Windsor County, Vermont, the eighth child and sixth living son of Joseph Sr. and Lucy Smith. Joseph Sr. reports the first of seven visions, five of which Lucy records.",1811-03-13,1811-03-13
"Typhoid fever strikes the family. By fervent prayer, Lucy and Joseph Sr. receive an assurance that the dying Sophronia will live. Joseph turns seven in December 1812. After an aggressive operation for osteomyelitis, Joseph recuperates at Salem, Massachusetts, with Jesse Smith, his brother's uncle. He is still walking on crutches in 1816. Winter 1812-13.",1812-01-01,1814-01-01
"Family moves to Lebanon, New Hampshire, approximately twenty miles away. Soon afterward, Joseph Sr. reports a second vision of a beautiful tree with delicious fruit that he calls his family to partake of. after May 1812.",1812-05-01,1812-05-01
"Katharine is born at Lebanon, New Hampshire. (See discussion about her birth year in chap. 9 notes.)",1813-07-08,1813-07-08
"The Smith family is no longer listed on the Lebanon tax rolls and has probably moved to Norwich, Vermont. The seasons of 1814, 1815, and 1816, unnaturally cold because of volcanic dust, cause crop failure.",1815-05-01,1815-05-01
"Smith family moves to Palmyra, New York",1816-01-01,1816-01-01
"Joseph Sr. moves to Palmyra, Ontario (now Wayne) County, New York.",1816-01-01,1816-01-01
"Norwich town authorities formally ""warn out"" the Joseph Smith family, a device for moving indigent arrivals into another jurisdiction; these writs had to be issued within a year of a family's arrival. For dating problems caused by this document, see Vogel 1222-68. Joseph Smith Sr. reports his third vision images in a garden bowing to him.",1816-03-15,1816-03-15
"Don Carlos is born at Norwich, Vermont, the tenth child and seventh (or eighth) son of Joseph Sr. and Lucy Mack Smith.",1816-03-25,1816-03-25
Lucy and the children follow Joseph Sr. to Palmyra. They live in a small house on Main Street.,1817-01-01,1817-01-01
Joseph Smith Sr.'s name appears on a Palmyra road list.,1817-04-01,1817-04-01
"Joseph Smith, Sr., is living in the village of Palmyra, New York, on Road District 26.",1817-04-01,1817-04-01
"Howard Coray is born in Stueben County, New York, to Silas Coray and Mary Stephens Coray.",1817-05-06,1817-05-06
George A. Smith is born to John Smith and Clarissa Lyman Smith. He is eleven and a half years younger than Joseph Jr.,1817-06-26,1817-06-26
Joseph Sr. is residing in Palmyra village.,1818-04-01,1818-04-01
Joseph Smith Sr. reports his sixth vision‚ - being locked out of the building on the day of judgement.,1818-05-01,1818-05-01
"Joseph Sr. reports his seventh vision - 
of the peddler who will tell him what one thing he lacks for salvation.",1819-01-01,1819-01-01
The Smiths live in a small cabin on Samuel Jennings's property just north of the Palmyra/Manchester township line.,1819-04-01,1820-05-01
Joseph Sr. is still residing in Palmyra village.,1819-04-01,1819-04-01
Traditional date of a revival in the Palmyra area and Joseph Smith's first vision.,1820-01-01,1820-01-01
"Joseph Smith, Jr., later reports he has a personal forgiveness of sins; he is an exhorter for the Methodist class in Palmyra and attends a local debating club.",1820-01-01,1821-01-01
First Vision,1820-03-01,1820-05-01
Joseph Sr. and family are located at the south end of Stafford Road in Palmyra Township; Alvin Smith is residing in the village of Palmyra.,1820-04-01,1820-04-01
"Joseph Sr. and Alvin article for 100 acres of land in Farmington, Lot 1, from Zachariah Seymour, land agent for Nicholas Evertson’s heirs. Summer.",1820-06-01,1820-06-01
The Smith family is living on land owned by Samuel Jennings.,1820-06-13,1820-06-13
Tax on 300 acres of Lot 1 in Farmington (later Manchester) is to be paid by Nicholas Evertson heirs.,1820-06-22,1820-06-22
Power of attorney is given to Zachariah Seymour.,1820-07-14,1820-07-14
"Joseph Sr., Alvin, and Hyrum Smith are residing at the south end of Stafford Road in Palmyra.",1821-04-01,1821-04-01
"Martha Jane Knowlton is born at Covington, Boone County, Kentucky.",1821-06-03,1821-06-03
Joseph Sr. and Alvin contract for their land in Manchester.,1821-07-01,1821-07-01
Joseph Sr. is taxed for 100 acres of Lot 1.,1821-07-07,1821-07-07
"The Smiths' youngest child, Lucy, is born at Palmyra.",1821-07-18,1821-07-18
Daughter Lucy Smith is born in Palmyra Township.,1821-07-18,1821-07-18
The Smiths build their cabin on the Manchester farm and move into it before July 1823 when their tax assessment increases markedly.,1822-01-01,1822-01-01
"Joseph Jr. tells that by looking in Willard Chase’s stone he can see hidden treasures, all things in caves, in and under the earth, and spirits in ancient dress in charge of the treasures.",1822-01-01,1824-12-31
Joseph Jr. is present when Willard Chase finds a stone in a well on the Chase property. Joseph borrows the stone.,1822-01-01,1822-01-01
Joseph Sr. and Alvin are listed on south end of Stafford Road in Palmyra.,1822-04-01,1822-04-01
Lot 1 valuation is still $700 for 100 acres for Joseph Sr.,1822-06-29,1822-06-29
"Zachariah Seymour, the Evertson land agent, dies.",1822-07-02,1822-07-02
"Zachariah Seymour, the land agent from whom Joseph Sr. and Alvin articled the 100 acres and to whom they made payments, dies.",1822-07-02,1822-07-02
The Smiths mark their third harvest since contracting for their farm.,1823-07-01,1823-07-01
A $300 assessment increase on land shows improvements on the Smiths’ Manchester property.,1823-07-24,1823-07-24
An angel later identified as Moroni appears to Joseph Smith three times during the night and informs him of ancient plates deposited nearby.,1823-09-21,1823-09-21
D&C Section 2 Revealed,1823-09-21,1823-09-21
Moroni visits Joseph Jr. three times the same night.,1823-09-21,1823-09-21
Moroni appears a fourth time; Joseph finds the plates at the Hill Cumorah but is prohibited from taking them.,1823-09-22,1823-09-22
"As Joseph Jr. leaves the field where he has been working with his father and brothers, Moroni repeats the message and tells him to inform his father. Joseph recounts his experience to the entire family. He makes his first visit to the Hill Cumorah. Moroni tells him to return with Alvin the next year.2",1823-09-22,1823-09-22
"Alvin Smith leads an effort to construct a frame house for the family, then living in a cramped log home.",1823-11-01,1823-11-01
The Smiths’ frame house in Manchester commences to be built.,1823-11-01,1823-11-01
"After a brief illness, Alvin dies at age twenty-five of an overdose of calomel.",1823-11-19,1823-11-19
Alvin dies of an overdose of calomel soon after beginning work on the new frame house.,1823-11-19,1823-11-19
Alvin Smith dies.,1823-11-19,1823-11-19
"Dr. Gain C. Robinson, owner of Palmyra's first drug store, notes receiving a $3.00 fee for ""Joseph Smith visit.""",1823-11-20,1823-11-20
"Baptists and Presbyterians collaborate in a lengthy and effective revival. Lucy, in an X'd out passage, talks about the ""great revival"" after Alvin's death, then the effort to effect an interdenominational union (chap. 21). Lucy, Sophronia, Hyrum, and Samuel become Presbyterian.",1824-01-01,1826-01-01
"A new land agent, John Greenwood, is given power of attorney in Canandaigua.",1824-05-17,1824-05-17
"After revivals in Palmyra, Lucy Mack Smith and her children Sophronia, Hyrum, and Samuel join the Presbyterian church.",1824-08-01,1824-08-01
"Revival of religion commences with the Methodists, followed by the Baptists and Presbyterians, in the Palmyra vicinity. Joseph Jr. hears discourses by Reverend Lane of the Methodist church and attends meetings.",1824-09-01,1824-05-31
Joseph makes his first annual visit to the Hill Cumorah.,1824-09-22,1824-09-22
Joseph Jr. makes his second visit to the Hill Cumorah without Alvin. Quinn suggests that Lucy's details‚Äö√Ñ√Æabout the plates' disappearance when he puts them on the ground‚Äö√Ñ√Æactually happened during the first visit.,1824-09-22,1824-09-22
Joseph Smith Sr. runs a paid advertisement in the Wayne Sentinel announcing that he and some of his neighbors have found Alvin’s body undisturbed after rumors circulated that the body had been removed from its place of interment.,1824-09-29,1824-09-29
"Joseph Smith Sr. publishes a paid advertisement in the Wayne Sentinel for six weeks, announcing that he dug up Alvin's body on 25 September, disproving rumors that someone had mutilated or dismembered the body. The advertisement also runs on 6, 13, 20, 27 October and 3 November 1824.",1824-09-29,1824-09-29
"Lucy, Hyrum, Samuel Harrison, and Sophronia Smith join Palmyra’s Presbyterian church. Joseph Jr. is inclined toward the Methodist faith.",1825-04-01,1825-05-01
Joseph makes his second annual visit to the Hill Cumorah.,1825-09-22,1825-09-22
"Joseph Jr. makes his third visit to the Hill Cumorah. Either he was alone or, Quinn suggests, he may have taken Samuel Lawrence with him and Moroni refused to appear.",1825-09-22,1825-09-22
"Josiah Stowell, of Chenango County, New York, hearing that Joseph can “discern things invisible to the natural eye,” hires him to assist in digging for treasure. The Erie Canal officially opens.",1825-10-01,1825-10-01
The Smith family completes the frame house begun by Alvin and moves in.,1825-10-01,1825-10-01
"Josiah Stowell/Stoal, of Chenango County, New York, hires Joseph Jr. to look for a Spanish treasure mine in Pennsylvania. Joseph boards at the home of Isaac Hale at Harmony and meets Emma.",1825-10-01,1825-10-01
The frame house begun by Alvin is completed and the family moves in.,1825-10-01,1825-12-01
Joseph Jr. works for Josiah Stowell for five months and goes to school. He uses two stones to search for treasure and prays for help in the endeavor.,1825-10-01,1826-03-31
"Joseph goes with his father to southern New York and near Harmony (now Oakland), Pennsylvania, to obtain money to pay off their Manchester farm; they hunt for a gold/silver mine with a number of treasure seekers. At home of Isaac Hale, Joseph Jr. meets Hale’s daughter Emma. The treasure seeking company stays at Hale’s home.",1825-10-01,1825-11-30
"Joseph, Joseph Smith Sr., and three other laborers sign an agreement with Stowell concerning his treasure-seeking venture near Harmony, Pennsylvania. The Smiths board with Isaac Hale, where Joseph meets Hale’s daughter Emma.",1825-11-01,1825-11-01
"Joseph Sr., Joseph Jr., and seven others sign ""Articles of Agreement"" for a treasure-seeking company in Harmony, Pennsylvania.",1825-11-01,1825-11-01
"Stowell’s company breaks up; Joseph continues working for Stowell on Stowell’s farm near South Bainbridge, New York.",1825-11-17,1825-11-17
"The company disbands. Joseph Jr. lives with Josiah Stowell during the winter of 1825-26, probably doing farm work in exchange for his board, and attending school.",1825-11-17,1825-11-17
The Smith family falls behind in payments and nearly lose their home; Lemuel Durfee buys the land and allows the Smiths to continue living there in exchange for Samuel’s labor.,1825-12-01,1825-12-01
"John Greenwood sells the Smith farm to a group of three men because the family's payments are in arrears. The new titleholders agree on 15 December to let Hyrum try to raise $1,000.",1825-12-01,1825-12-01
"The Smiths’ farm, on which they are delinquent, is sold to Lemuel Durfee. The Smiths remain as renters.",1825-12-01,1825-12-31
Quaker Lemuel Durfee Sr. takes over ownership of the farm and house and allows the family to live there until the spring of 1828 in exchange for Samuel's labor.,1825-12-20,1825-12-20
Joseph Jr. and Samuel Lawrence go to Pennsylvania where Joseph proposes to Emma Hale and is rebuffed by Isaac Hale. Fall 1826.,1826-01-01,1826-01-01
"At South Bainbridge, Stowell’s nephew, Peter G. Bridgeman, charges Joseph with being “a disorderly person and an Imposter”; Stowell testifies in Joseph’s favor (with historians disagreeing on whether Joseph was acquitted).",1826-03-20,1826-03-20
"Joseph Jr. is summoned to a judicial hearing at South Bainbridge, New York. Peter G. Bridgeman, Josiah Stowell's nephew, charges him with being a ""disorderly"" person. Joseph Sr. is a witness.",1826-03-20,1826-03-20
"During a court examination before Justice Albert Neely, Joseph Jr. states that by looking at a stone he can discover treasures hidden in the bowels of the earth, gold mines, coined money, and lost property.",1826-03-20,1826-03-20
"Joseph Jr. works for Joseph Knight at Colesville, New York.",1826-08-01,1826-11-01
"Joseph and Samuel Lawrence travel to Harmony, where they reportedly search unsuccessfully for a silver mine; Lawrence recommends Joseph to Emma Hale.",1826-09-01,1826-09-01
Joseph makes his third annual visit to the Hill Cumorah.,1826-09-22,1826-09-22
"Joseph Jr. makes his fourth visit to the Hill Cumorah. Moroni tells him that if he meets the Lord's requirement he can have the plates next year. From his seer stone, Joseph learns that he should bring Emma Hale with him.",1826-09-22,1826-09-22
"Joseph works for Joseph Knight in Colesville, New York, and becomes good friends with Newel Knight.",1826-11-01,1826-11-01
Joseph farms for Joseph Knight Sr. of Colesville and becomes close friends with Newel Knight.,1826-11-01,1826-11-01
Hyrum Smith marries Jerusha Barden.,1826-11-02,1826-11-02
"Peter Ingersoll moves Emma’s furniture from Harmony, Pennsylvania, to Manchester. Joseph Jr. tells his father-in-law he will give up glass-looking.",1827-01-01,1827-01-01
Josiah Stowell moves Joseph and Emma to Manchester. January,1827-01-01,1827-01-01
"Joseph and Emma Hale are married by Zechariah Tarble in South Bainbridge, New York, without Isaac Hale’s permission. About a week later, Joseph and Emma move to Manchester with Josiah Stowell’s help.",1827-01-18,1827-01-18
"Joseph Jr. and Emma are married by ""Squire Tarbill"" [Zachariah Tarbell] at South Bainbridge without her father's permission. They go to Manchester and work on the family farm for the next spring and summer.",1827-01-18,1827-01-18
"Joseph Jr. and Emma Hale are married at South Bainbridge, New York.",1827-01-18,1827-01-18
Joseph Jr. receives a receipt for credit of four dollars on Abraham Fish’s account.,1827-03-10,1827-03-10
Samuel Smith begins working for Lemuel Durfee to pay for the Smith family’s continued residence on the farm.,1827-04-16,1827-04-16
Lemuel Durfee notes that Samuel H. Smith begins working seven months to pay him for the Smith family's continued residence on their farm.,1827-04-16,1827-04-16
"Samuel Harrison Smith begins to work for Lemuel Durfee, Sr., in payment for use of the house where the Smiths reside.",1827-04-16,1827-04-16
Joseph Sr. tells Willard Chase that some years previous a spirit had appeared to his son Joseph Jr. and informed him about a book or record of gold.,1827-06-01,1827-06-01
Peter Ingersoll goes with Joseph and Emma to Harmony to obtain Emma’s furniture and other possessions and move them back to Manchester.,1827-08-01,1827-08-01
Joseph gets Emma's possessions from Harmony.,1827-08-01,1827-08-01
"Joseph Jr. works two days mowing for Lemuel Durfee, Sr.",1827-08-01,1827-08-01
Joseph Jr. goes to Macedon and works for Mrs. Wells.,1827-09-01,1827-09-01
"Lovina Smith, Hyrum and Jerusha's oldest daughter, is born.",1827-09-16,1827-09-16
"Josiah Stowell and Joseph Knight arrive at the Smith home in Manchester, apparently in expectation of Joseph’s receiving the plates on September 22.",1827-09-20,1827-09-20
"Josiah Stowell and Joseph Knight Sr. visit the Smith family, perhaps in anticipation of Joseph Jr.'s receiving the plates on the 22nd.",1827-09-20,1827-09-20
Joseph Knight and Josiah Stowell visit the Smith home.,1827-09-20,1827-09-20
"In the early hours after midnight, Joseph and Emma ride in Joseph Knight’s wagon to the Hill Cumorah; Emma stays near the wagon and prays while Joseph obtains the plates.",1827-09-22,1827-09-22
"Soon after midnight, Joseph Jr. and Emma take Joseph Knight's wagon to the Hill Cumorah where Joseph receives the plates while Emma prays.",1827-09-22,1827-09-22
"Joseph Jr. visits a nearby hill taking Emma with him in Joseph Knight’s wagon. He finds gold plates in a stone box and hides the plates in a fallen tree top. He also finds with the plates a sword, breastplate, and a pair of spectacles (also called Urim and Thummim). Joseph tells Joseph Knight the plates “appear to be Gold” and through the glasses or spectacles “I can see any thing.”",1827-09-22,1827-09-22
The family exerts considerable ingenuity to keep the plates from the mob.,1827-10-01,1827-12-01
"The Martin Harris family hears about the gold plates from Lucy. Mrs. Harris and her daughter go to the Smith home. Martin talks to members of the Smith family and Joseph Jr. about how the book was found. Joseph says that an angel appeared to him and told him it was God’s work and that he located the plates by looking in the stone found on the Chase property. The angel told him he must quit the company of the money-diggers, translate the plates, and publish them to the world. Martin responds, “If the Lord will show me that it is his work, you can have all the money you want.”",1827-10-01,1827-10-01
"Joseph Jr. takes the gold plates from the hiding spot in the fallen tree top and runs home with them. He tells Willard Chase that if it had not been for the stone, he would not have obtained the book. A group of treasure seekers begins looking for the plates. Lucy Smith mentions that Joseph hid the plates in a wood box which was smashed by people searching for the record.",1827-10-01,1827-10-01
Joseph Jr. tells his wife’s neighbors about the gold plates.,1827-11-01,1828-11-01
Martin Harris gets Joseph Jr. out of debt and gives him $50. Alva Hale comes from Harmony to pick up Joseph and Emma. Alva moves them to Harmony. The plates are placed in a barrel containing beans.,1827-11-01,1827-12-31
"Moves to Harmony, Pennsylvania",1827-12-01,1827-12-01
"Alva Hale, Emma’s brother, arrives from Harmony and returns there with Joseph and Emma, who have received financial help from Martin Harris.",1827-12-01,1827-12-01
"Alva Hale arrives from Harmony and takes Joseph and Emma back with him, carrying the plates concealed in a barrel of beans. Martin Harris remembers the date of the move as the last of October or first of November; Joseph Knight recalls it as November.",1827-12-01,1827-12-01
Emma and Reuben Hale act as scribes. Joseph refuses to show Isaac Hale the plates. Joseph and Emma move into a small house behind the Hale farm.,1827-12-01,1828-03-01
Sophronia marries Calvin Stoddard at Palmyra,1827-12-30,1827-12-30
Translates Book of Mormon with Martin Harris,1828-01-01,1828-01-01
"Martin Harris and Hyrum go to Harmony to visit Joseph Jr. and get a transcript of some Book of Mormon characters. Mrs. Lucy (""Dolly"") Harris, enraged that Martin went without her, arranges for her future son-in-law, Flanders Dykes, to copy Martin's transcript.",1828-01-01,1828-01-01
"Harris takes transcript of characters copied from plates to show to scholars in Albany, New York, and New York City.",1828-02-01,1828-02-01
"Martin and Dolly Harris visit Joseph Jr. in Harmony for about two weeks. Martin takes Mrs. Harris home, then returns.",1828-02-01,1828-02-01
"Martin Harris takes a transcript of Book of Mormon characters to New York City and shows them to Professor Charles Anthon, Columbia University.",1828-02-01,1828-02-01
"Hyrum Smith and Martin Harris travel to Harmony, Pennsylvania, to see Joseph Jr. Harris takes a set of characters copied from the gold plates to New York City.",1828-02-01,1828-02-01
"Joseph Smith translates portion of plates, with Martin Harris acting as main scribe (and with Emma Smith and Reuben Hale possibly assisting).",1828-04-01,1828-04-01
Martin Harris acts as scribe for Joseph and completes 116 pages.,1828-04-12,1828-04-12
Harris becomes a scribe at Harmony. The contents of the book are for the first time dictated by Joseph Jr.,1828-04-12,1828-04-12
Joseph Jr. travels to Manchester and learns that the manuscript is lost.,1828-06-01,1828-07-01
"Harris takes 116-page Book of Mormon manuscript to Palmyra, New York, to show to family.",1828-06-14,1828-06-14
Martin Harris persuades Joseph to let him show the 116 pages to his family.,1828-06-14,1828-06-14
Harris takes the manuscript pages home. At Palmyra he reads from the manuscript in the evenings to his family and some friends.,1828-06-14,1828-06-14
Emma Smith gives birth to her and Joseph’s first child—a boy who is either stillborn or dies shortly after birth.,1828-06-15,1828-06-15
"Alvin, firstborn of Joseph and Emma, dies a few hours after birth.",1828-06-15,1828-06-15
A male child is born to Joseph and Emma but dies the same day at Harmony. Emma hovers near death.,1828-06-15,1828-06-15
First records a revelation,1828-07-01,1828-07-01
Joseph Smith travels to parents’ home in Manchester and learns that Harris has lost the manuscript; he returns to Pennsylvania; plates are temporarily taken from him.,1828-07-01,1828-07-15
D&C Section 3 Revealed,1828-07-01,1828-07-01
A revelation concerning the lost pages is given at Harmony (BC 2; LDS D&C 3; RLDS D&C 2). This is Joseph’s first recorded revelation.,1828-07-01,1828-07-01
Joseph goes to Manchester and learns that Martin Harris has lost the 116 transcribed pages. The Urim and Thummim are taken from him but returned a few days later. Joseph receives two chastising revelations (D&C 3 and D&C 10; the latter is dated as late summer 1828 in HC and as May 1829 in the Book of Commandments).,1828-07-07,1828-07-07
"Samuel Smith, Emma Hale Smith, and Reuben Hale each serve as scribes to Joseph.",1828-08-01,1828-12-31
"Oliver Cowdery and David Whitmer meet in Palmyra, discuss rumors about Joseph Smith and gold plates, and begin investigating the matter.",1828-09-01,1828-09-01
"Lucy, Hyrum, and Samuel Smith stop attending Palmyra’s Presbyterian church.",1828-09-01,1828-09-01
"Dr. Gain Robinson notes medicine and consultation ""for Boy Harrison."" Hyrum has been caring for the younger children.",1828-09-11,1828-09-11
Joseph Jr. begins translating again using either the Urim and Thummim or (more probably) his seer stone.,1828-09-22,1828-09-22
Joseph Sr. and Lucy visit Joseph Jr. and Emma at Harmony and have a cordial visit with the Hales. They return home to find that Sophronia and Samuel have been very ill. after 22 Sept 1828.,1828-09-22,1828-09-22
Cowdery begins teaching school in Manchester district and meets Joseph Sr. and Lucy Mack Smith.,1828-10-01,1828-10-01
Oliver Cowdery is hired to teach school at Manchester and boards with the Smith family.,1828-10-01,1828-10-01
"Cowdery has spiritual experience convincing him of Joseph Smith’s divine calling, though the two have not yet met.",1829-01-01,1829-01-01
D&C Section 19 Revealed,1829-01-01,1829-01-01
Solomon Chamberlain takes sixty-four printed but unbound pages and goes on a mission of 800 miles through Canada. Summer 1829.,1829-01-01,1829-01-01
Joseph Sr. and Samuel Smith visit Joseph and Emma in Harmony.,1829-02-01,1829-02-01
D&C Section 4 Revealed,1829-02-01,1829-02-01
"Joseph Sr. and Samuel Smith visit Joseph and Emma at Harmony; Samuel may have acted as scribe during this visit. Joseph Jr. receives a revelation for his father, now D&C 4.",1829-02-01,1829-02-01
"Lucy and Joseph Sr. travel to Harmony, Pennsylvania. A revelation is received at Harmony (BC 3; LDS and RLDS D&C 4).",1829-02-01,1829-02-01
Martin visits Joseph and Emma in Harmony.,1829-03-01,1829-03-01
"Lucy Harris files a complaint in Lyons, New York, claiming Joseph Smith is attempting to defraud her husband, Martin; Martin testifies in Joseph’s defense; case is dismissed.",1829-03-01,1829-03-01
D&C Section 5 Revealed,1829-03-01,1829-03-01
"Martin Harris travels to Harmony and wants to know if Joseph Jr. “had, in his possession, the record of the Nephites.” A revelation is received (BC 4; LDS and RLDS D&C 5). Harris returns to Palmyra. Isaac Hale describes the manner in which the record was dictated: a stone placed in a hat.",1829-03-01,1829-03-01
"The Smith family is forced to move out of the frame home into the log home now occupied by Hyrum, his wife, Jerusha, and their infant girl, Lovina.",1829-03-15,1829-04-15
D&C Section 9 Revealed,1829-04-01,1829-04-01
D&C Section 10 Revealed,1829-04-01,1829-04-01
D&C Section 7 Revealed,1829-04-01,1829-04-01
D&C Section 6 Revealed,1829-04-01,1829-04-01
D&C Section 8 Revealed,1829-04-01,1829-04-01
"Oliver Cowdery and Samuel Smith leave the Smith home in Manchester on foot and reach Joseph's and Emma's home in Harmony, Pennsylvania, on 5 April.",1829-04-01,1829-04-01
"The Smith family moves from the frame house into their former cabin, now occupied by Hyrum and Jerusha Smith. Their daughter Lovina is now about eighteen months old and Jerusha is pregnant with Mary, who will be born in June. Lemuel Durfee Sr.'s daughter, Mary Durfee Nichols, and her husband Roswell move into the frame house.",1829-04-01,1829-04-01
"Oliver Cowdery arrives in Harmony; he begins acting as Joseph’s scribe two days later, and the translation continues.",1829-04-05,1829-04-05
"Samuel Smith and Oliver Cowdery arrive at Harmony, Pennsylvania.",1829-04-05,1829-04-05
"Joseph signs agreement to purchase land and home from father-in-law Isaac Hale, makes down payment of sixty-four dollars.",1829-04-06,1829-04-06
"Joseph buys 13.5 acres from Isaac Hale, securing title on 25/26 August 1830.",1829-04-06,1829-04-06
Oliver Cowdery begins his work as Joseph's scribe.,1829-04-07,1829-04-07
"Cowdery acts as a scribe to Joseph Jr. Seven revelations are given during April and May (BC 5-11; LDS D&C 6-12; RLDS D&C 3, 6-11). Dictation continues during the summer of 1829 at Harmony, Pennsylvania, and concludes at Fayette, New York, about 1 July 1829.",1829-04-07,1829-04-07
"Joseph Knight travels from his home in Colesville Township, New York, to Harmony with supplies for Joseph and Cowdery.",1829-05-01,1829-05-01
D&C Section 12 Revealed,1829-05-01,1829-05-01
D&C Section 11 Revealed,1829-05-01,1829-05-01
"Martin Harris goes to Rochester, New York, to inquire about printing the Book of Mormon. He reports that Joseph found a gold bible and that “By placing the spectacles in a hat and looking into it, Smith interprets the characters into the English language.”",1829-05-01,1829-08-01
Joseph and Cowdery are visited by a divine messenger who announces himself as John the Baptist; he ordains Joseph and Cowdery and instructs them to baptize each other.,1829-05-15,1829-05-15
D&C Section 13 Revealed,1829-05-15,1829-05-15
"Joseph and Oliver, in response to revelation, baptize each other, then Samuel. This is the traditional date of John the Baptist's restoration of the Aaronic priesthood. Samuel's baptism date is also given as 25 May (HC 1:44) during a second visit. He returns home and reports Joseph's ""success.""",1829-05-15,1829-05-15
